team1_form,team2_form,head_to_head,venue_win_rate_t1,venue_win_rate_t2,venue_avg_score,toss_advantage,season,target
0.6,0.6,0.5555555555555556,0.68,0.3333333333333333,321.4230769230769,0,2012,1
0.8,0.4,0.5,0.45454545454545453,0.0,297.45454545454544,1,2012,0
0.6,0.4,0.375,0.5333333333333333,0.3333333333333333,287.05555555555554,1,2012,0
0.2,0.6,0.25,1.0,0.5,333.0,0,2012,0
0.4,0.4,0.5,0.75,0.6666666666666666,299.65,1,2012,0
0.4,0.6,0.3333333333333333,1.0,0.5,310.5,1,2012,0
0.6,0.4,0.6666666666666666,0.5789473684210527,0.0,321.2105263157895,1,2012,0
0.4,0.0,0.5,0.6666666666666666,0.5,305.0,0,2012,0
0.8,0.6,0.4444444444444444,0.43478260869565216,0.6666666666666666,300.3478260869565,0,2012,1
0.6,0.4,0.75,0.6923076923076923,0.0,320.3703703703704,0,2012,0
0.8,0.6,0.4444444444444444,0.5833333333333334,0.3333333333333333,274.7916666666667,1,2012,1
0.8,0.4,0.5,0.4583333333333333,0.0,303.5416666666667,1,2012,1
0.4,0.2,0.5555555555555556,0.5,1.0,289.1578947368421,1,2012,1
0.6,0.8,0.7142857142857143,0.6666666666666666,0.0,319.82142857142856,1,2012,0
0.2,0.2,0.6666666666666666,0.6666666666666666,0.5,306.3333333333333,1,2012,1
0.4,0.8,0.4444444444444444,0.7142857142857143,0.0,301.1904761904762,1,2012,0
0.6,0.4,0.5555555555555556,0.5,0.3333333333333333,301.4583333333333,0,2012,0
0.2,0.4,0.3333333333333333,0.5,0.5,312.75,0,2012,0
0.4,0.4,0.5555555555555556,0.6428571428571429,0.6666666666666666,318.41379310344826,1,2012,1
0.8,0.2,1.0,0.6,0.5,277.12,1,2012,1
0.6,0.2,0.375,0.55,0.3333333333333333,322.1,0,2012,0
0.6,0.4,0.4444444444444444,0.48,0.5,302.24,1,2012,1
0.6,0.6,0.5555555555555556,0.5294117647058824,0.5,284.75,1,2012,1
0.8,1.0,0.5714285714285714,0.48,0.5,303.52,1,2012,0
0.4,0.6,0.375,0.07142857142857142,1.0,326.57142857142856,1,2012,0
0.0,0.2,0.0,0.4,0.5,298.0,1,2012,0
0.8,0.6,0.5555555555555556,0.5555555555555556,0.5,287.7142857142857,0,2012,0
0.4,0.4,0.4,0.6818181818181818,0.5,300.45454545454544,0,2012,0
0.2,0.8,0.4,0.06666666666666667,1.0,325.8,1,2012,0
0.0,0.6,0.0,0.3333333333333333,0.5,290.1666666666667,1,2012,0
1.0,0.6,0.125,0.6153846153846154,0.6666666666666666,277.7307692307692,0,2012,0
0.4,0.8,0.5,0.6551724137931034,0.6666666666666666,318.1333333333333,1,2012,1
0.4,0.0,1.0,0.6521739130434783,0.0,298.39130434782606,1,2012,1
0.6,0.2,0.6666666666666666,0.5238095238095238,0.0,321.57142857142856,0,2012,1
0.8,0.6,0.375,0.5925925925925926,0.6666666666666666,279.9259259259259,0,2012,0
0.6,0.8,0.5,0.5,1.0,304.6923076923077,0,2012,0
0.6,0.8,0.375,0.46153846153846156,0.6666666666666666,303.65384615384613,0,2012,1
0.8,0.6,0.8888888888888888,0.5263157894736842,0.0,287.5,1,2012,0
0.6,0.6,0.625,0.48148148148148145,0.3333333333333333,302.6296296296296,1,2012,0
0.6,0.8,0.2222222222222222,0.4,1.0,343.4,1,2012,1
0.0,0.6,0.125,0.0625,1.0,329.1875,0,2012,1
0.6,0.4,0.5555555555555556,0.5,0.0,326.6666666666667,0,2012,0
0.0,0.6,0.0,0.2857142857142857,0.5,293.14285714285717,0,2012,0
0.2,0.8,0.5,0.11764705882352941,0.5,324.7647058823529,0,2012,1
0.6,0.6,0.5,0.6666666666666666,0.3333333333333333,298.25,1,2012,0
0.6,0.6,0.5,1.0,1.0,286.25,0,2012,0
0.6,0.6,0.4,0.3333333333333333,1.0,306.14814814814815,0,2012,1
0.4,0.8,0.4444444444444444,0.5,0.6666666666666666,315.258064516129,1,2012,0
0.6,0.8,0.3333333333333333,0.25,0.6774193548387096,316.59375,0,2012,1
0.8,0.4,0.5555555555555556,0.5714285714285714,0.3333333333333333,281.2857142857143,1,2013,1
0.6,0.6,0.45454545454545453,0.48148148148148145,0.8,307.2142857142857,0,2013,1
0.4,0.0,0.75,0.16666666666666666,1.0,320.8888888888889,0,2013,1
0.6,0.4,0.45454545454545453,0.65625,0.25,318.57575757575756,0,2013,0
0.2,0.4,0.6,0.4642857142857143,0.0,306.42857142857144,0,2013,0
0.0,0.6,0.75,0.25,0.0,288.44444444444446,1,2013,0
0.4,1.0,0.4,0.64,0.3333333333333333,299.32,0,2013,1
0.4,0.6,0.4166666666666667,0.5,0.3333333333333333,307.3103448275862,0,2013,1
0.4,0.2,0.5,0.5,0.3333333333333333,285.7826086956522,1,2013,1
0.6,0.4,0.3,0.5454545454545454,0.5,324.40909090909093,0,2013,0
0.0,0.6,0.0,0.2222222222222222,1.0,279.5,0,2013,1
0.6,0.8,0.5,0.5172413793103449,0.5,307.8333333333333,1,2013,1
0.0,0.6,0.6363636363636364,0.4482758620689655,0.5,307.0689655172414,1,2013,0
0.6,0.6,0.5833333333333334,0.6363636363636364,0.3333333333333333,317.6470588235294,1,2013,1
0.6,0.2,0.75,0.5238095238095238,0.5,289.4583333333333,1,2013,1
0.6,0.6,0.7777777777777778,0.5862068965517241,0.0,280.44827586206895,1,2013,1
0.4,0.4,0.6666666666666666,0.6538461538461539,0.0,298.15384615384613,1,2013,1
0.6,0.2,0.75,0.6470588235294118,0.0,318.0285714285714,0,2013,0
0.4,0.6,0.4444444444444444,0.5217391304347826,0.6666666666666666,322.3478260869565,0,2013,1
0.6,0.6,0.4444444444444444,0.6666666666666666,0.5,296.3703703703704,1,2013,1
0.4,0.4,0.2,0.5,0.5,322.702024291498,1,2013,0
0.0,0.4,0.4,0.43333333333333335,0.6666666666666666,304.46666666666664,0,2013,0
0.4,0.4,0.3,0.2,1.0,315.05,0,2013,1
0.4,0.6,0.4,0.6,0.75,281.5,1,2013,0
0.4,0.8,0.5555555555555556,0.5161290322580645,0.6666666666666666,308.65625,1,2013,1
0.0,0.6,0.45454545454545453,0.41935483870967744,0.5,302.7741935483871,0,2013,1
